Dataset,Model,Mean Accuracy,Best Accuracy,Mean F1,Best F1,Mean ROC-AUC,Best ROC-AUC,Best Feature Combo,Best GNN Layer
politifact,MultiFeature,0.677601809954751,0.8280542986425339,0.5167418396001278,0.8272727272727273,0.6814056866601114,0.8285807931825632,"['content', 'bert']",sage
politifact,ParallelFeature,0.6510809451985922,0.7963800904977375,0.4809002682410376,0.8083333333333333,0.6550447940565934,0.7988364470665356,"['profile', 'spacy']",gat
gossipcop,MultiFeature,0.4992158912702562,0.4992158912702561,0.0,0.0,0.5,0.5,"['content', 'bert']",gcn
gossipcop,ParallelFeature,0.6488064122669455,0.923157344485102,0.4333651072248299,0.9215162840363054,0.6491242116538599,0.9231924056443944,"['profile', 'spacy']",sage
