,name,feature,conv_layer,accuracy,recall,precision,f1,roc_auc,train_mean,train_std,val_mean,val_std
0,politifact,content,gcn,0.5203619909502263,1.0,0.5159817351598174,0.6807228915662651,0.5092592592592593,0.6999051570892334,0.15521683513460957,0.7684007150786264,0.24954731895197615
1,politifact,content,sage,0.6108597285067874,0.9823008849557522,0.5692307692307692,0.7207792207792207,0.6022615535889873,0.7342489157404218,0.34125402481948136,0.8268608450889587,0.5120464562238334
2,politifact,content,gat,0.48868778280542985,0.0,0.0,0.0,0.5,0.7053394981792995,0.1908981782439478,0.7673993280955723,0.25230645797306506
3,politifact,bert,gcn,0.7737556561085973,0.8938053097345132,0.7266187050359713,0.8015873015873016,0.7709767289413306,0.42561923460369666,0.7434816324637742,0.8759020277432032,1.0536933865706728
4,politifact,bert,sage,0.6742081447963801,0.39823008849557523,0.9183673469387755,0.5555555555555556,0.6805965257292692,0.2759783855772444,0.48200980708646396,0.712644887822015,0.540212544479433
5,politifact,bert,gat,0.7918552036199095,0.672566371681416,0.8941176470588236,0.7676767676767676,0.7946165191740413,0.31549417819561704,0.44445189784642153,0.8398735182625907,0.40964126109210053
6,politifact,profile,gcn,0.7194570135746606,0.6194690265486725,0.7865168539325843,0.693069306930693,0.7217715503113733,0.4025549513953073,0.13668136778516918,0.7670485547610691,0.0640023952381579
7,politifact,profile,sage,0.7692307692307693,0.7256637168141593,0.803921568627451,0.7627906976744186,0.7702392658144872,0.3749253098453794,0.18679897612996016,0.8002643431935992,0.12561722917585638
8,politifact,profile,gat,0.7194570135746606,0.5486725663716814,0.8493150684931506,0.6666666666666666,0.7234103572599148,0.4293960213661194,0.14051299712426102,0.7765960880688259,0.09301260546352307
9,politifact,spacy,gcn,0.7828054298642534,0.7345132743362832,0.8217821782178217,0.7757009345794392,0.7839233038348083,0.30108773963791985,0.21502078783343243,0.5912012951714652,0.10408726414493064
10,politifact,spacy,sage,0.8009049773755657,0.8495575221238938,0.7804878048780488,0.8135593220338984,0.7997787610619469,0.2766160674393177,0.23356981754888587,0.6165647038391658,0.11223674597430984
11,politifact,spacy,gat,0.7873303167420814,0.7345132743362832,0.83,0.7793427230046949,0.7885529334644378,0.30655661789434296,0.21507912361220985,0.5556830721242088,0.10472525740946322
12,gossipcop,content,gcn,0.4992158912702561,0.0,0.0,0.0,0.5,0.6984141879611544,0.028021082421462336,0.6944018254961286,0.007666467192809788
13,gossipcop,content,sage,0.5007841087297439,1.0,0.5007841087297439,0.6673632880529432,0.5,0.6969576182819548,0.011536856039789462,0.6958362940379551,0.005472727714513392
14,gossipcop,content,gat,0.9683742812336644,0.9650313152400835,0.9716237519705728,0.9683163131709872,0.9683795319655915,0.47219475333889327,0.2514528047130513,0.5144080175885133,0.3031630096850024
15,gossipcop,bert,gcn,0.9495556717198118,0.9801670146137788,0.9237579931136252,0.951126867561408,0.9495075910765229,0.21574473591550947,0.1612612138517859,0.22428962630884988,0.12936880727213482
16,gossipcop,bert,sage,0.9581808677469943,0.9707724425887265,0.9470468431771895,0.9587628865979382,0.9581610904043109,0.19671435527621753,0.16762063377827913,0.18909031457134653,0.1319688115644673
17,gossipcop,bert,gat,0.9696811291165708,0.9796450939457203,0.9605936540429887,0.9700258397932816,0.9696654789100329,0.19738492453027343,0.15418018112730295,0.19631492103849138,0.13622124563453017
18,gossipcop,profile,gcn,0.8755880815473079,0.8632567849686847,0.8854389721627409,0.8742071881606766,0.8756074500759654,0.35058472605924756,0.06340194841649346,0.34505592303616667,0.044538695134155336
19,gossipcop,profile,sage,0.9215891270256142,0.9342379958246346,0.9114052953156823,0.9226804123711341,0.9215692596924221,0.23571043385872764,0.11184950787047317,0.23639206290245057,0.08800647773899824
20,gossipcop,profile,gat,0.9100888656560376,0.9295407098121086,0.8949748743718593,0.9119303635432667,0.9100583130212375,0.2902914381689496,0.07464023556034804,0.27403098268168313,0.057367792504381405
21,gossipcop,spacy,gcn,0.9380554103502352,0.9801670146137788,0.9041887337506018,0.9406461307287753,0.9379892664691931,0.2148720110456149,0.11538824190622746,0.20799779355525969,0.09652416483151177
22,gossipcop,spacy,sage,0.9584422373235756,0.9702505219206681,0.9479857215706272,0.9589889089502193,0.9584236902797058,0.17093955313875564,0.07788061144900925,0.16229910671710965,0.05793061496084811
23,gossipcop,spacy,gat,0.9430214323052797,0.9211899791231732,0.9634279475982532,0.9418356456776947,0.9430557225458798,0.22062480858867134,0.08372575236582709,0.20417784133127756,0.058592785025642295
