,name,feature,conv_layer,accuracy,recall,precision,f1,roc_auc,train_mean,train_std,val_mean,val_std
0,politifact,content,gcn,0.48868778280542985,0.0,0.0,0.0,0.5,0.6889583417347499,0.07558750803600534,0.7486061062131609,0.13408132544893842
1,politifact,content,sage,0.48868778280542985,0.0,0.0,0.0,0.5,0.7096144591059004,0.17469633841618634,0.7781575339181083,0.2798901788590266
2,politifact,content,gat,0.5113122171945701,0.04424778761061947,1.0,0.0847457627118644,0.5221238938053098,0.676456766469138,0.034119683727241605,0.7346424988337925,0.07702282231638834
3,politifact,bert,gcn,0.8099547511312217,0.8672566371681416,0.784,0.8235294117647058,0.8086283185840708,0.47909490380968367,0.2884261329390638,0.6754539924008506,0.30881997476866185
4,politifact,bert,sage,0.8506787330316742,0.8053097345132744,0.8921568627450981,0.8465116279069768,0.8517289413307112,0.4347477258316108,0.3929888855687816,0.7028023089681353,0.4243867763725416
5,politifact,bert,gat,0.8190045248868778,0.7168141592920354,0.9101123595505618,0.801980198019802,0.8213700426089807,0.41429748298334224,0.33155239862295227,0.660530058826719,0.27255353619967393
6,politifact,profile,gcn,0.7782805429864253,0.7964601769911505,0.7758620689655172,0.7860262008733624,0.7778597181252048,0.4474234019007002,0.13250054373987444,0.7517971464565822,0.06608234171023282
7,politifact,profile,sage,0.7737556561085973,0.7433628318584071,0.8,0.7706422018348624,0.7744591937069814,0.421421708379473,0.12258032369247165,0.7481869322913034,0.049195272010411795
8,politifact,profile,gat,0.7692307692307693,0.7876106194690266,0.7672413793103449,0.777292576419214,0.7688053097345133,0.46311136824744087,0.13467237982606825,0.8089182189532689,0.09107050345765837
9,politifact,spacy,gcn,0.751131221719457,0.5929203539823009,0.881578947368421,0.708994708994709,0.7547935103244838,0.41448663089956556,0.18924741196910297,0.5670983493328094,0.12505075487563708
10,politifact,spacy,sage,0.8099547511312217,0.8053097345132744,0.8198198198198198,0.8125,0.8100622746640447,0.41896838630948746,0.1852101309417616,0.5989480444363185,0.1334677032259371
11,politifact,spacy,gat,0.8054298642533937,0.7079646017699115,0.8888888888888888,0.7881773399014779,0.8076860045886595,0.46345682314464026,0.17426542083947769,0.5755166385854994,0.13195548035402377
12,gossipcop,content,gcn,0.4992158912702561,0.0,0.0,0.0,0.5,0.6945355653762817,0.0077953957252029984,0.6931202643258232,0.001226858110672503
13,gossipcop,content,sage,0.4992158912702561,0.0,0.0,0.0,0.5,0.6976306852840243,0.016421045972603996,0.6951567220687866,0.0065661568436069535
14,gossipcop,content,gat,0.4992158912702561,0.0,0.0,0.0,0.5,0.6951891089242603,0.011117733723758601,0.6936266142981394,0.0034045439426305685
15,gossipcop,bert,gcn,0.7530057501306848,0.5266179540709812,0.9637058261700095,0.6810664866689167,0.753361333056433,0.3779432036573924,0.13064154937596795,0.44108241966792516,0.10493615646103419
16,gossipcop,bert,sage,0.9200209095661265,0.8856993736951984,0.9512331838565022,0.9172972972972973,0.9200748177376515,0.2806287944316864,0.14643214700373366,0.3115823488576071,0.15179567050754755
17,gossipcop,bert,gat,0.6296393099843178,0.9947807933194155,0.5753093872623001,0.7290112832281507,0.6290657893298648,0.2799828254987323,0.1656369429067212,0.30805590450763704,0.15340916193404447
18,gossipcop,profile,gcn,0.7982226868792472,0.6471816283924844,0.9281437125748503,0.7626076260762608,0.7984599241438862,0.42543690866894196,0.07107205435941646,0.40906073144504007,0.06116803996622622
19,gossipcop,profile,sage,0.8450078410872974,0.7494780793319415,0.9270497094899935,0.8288600288600289,0.8451578878335101,0.37191542623535034,0.07414280586626927,0.3596481594017574,0.06108850175468383
20,gossipcop,profile,gat,0.8086774699424987,0.6727557411273486,0.9246771879483501,0.7788519637462236,0.8088909595689099,0.43121290216370234,0.07468202902797079,0.41071695906775335,0.06697508094571222
21,gossipcop,spacy,gcn,0.4992158912702561,0.0,0.0,0.0,0.5,0.693264084770566,0.000868262810608269,0.6930054879188536,5.553385893824258e-05
22,gossipcop,spacy,sage,0.4992158912702561,0.0,0.0,0.0,0.5,0.6932013886315482,0.0007700975522561577,0.6929631369454521,0.000126702573634454
23,gossipcop,spacy,gat,0.4992158912702561,0.0,0.0,0.0,0.5,0.693283098084586,0.0005993193650623282,0.6930725175993783,0.00038796488853629264
